n,lang,test,time
40000,c,testSum,0.000048
40000,java,testSum,0.001948
40000,js,testSum,0.958295
40000,php,testSum,0.00089716911315918
40000,py,testSum,0.0017936229705810547
45000,c,testCmp,0.000042
45000,java,testCmp,0.003796
45000,js,testCmp,0.754834
45000,php,testCmp,0.001107931137085
45000,py,testCmp,0.002647876739501953
45000,c,testDiv,0.000086
45000,java,testDiv,0.004239
45000,js,testDiv,0.910446
45000,php,testDiv,0.001568078994751
45000,py,testDiv,0.0018341541290283203
45000,c,testMinus,0.000049
45000,java,testMinus,0.004819
45000,js,testMinus,0.003643
45000,php,testMinus,0.0010271072387695
45000,py,testMinus,0.0017540454864501953
45000,c,testProd,0.000042
45000,java,testProd,0.002540
45000,js,testProd,0.723711
45000,php,testProd,0.00091195106506348
45000,py,testProd,0.0019485950469970703
45000,c,testSum,0.000041
45000,java,testSum,0.002218
45000,js,testSum,0.839973
45000,php,testSum,0.0012638568878174
45000,py,testSum,0.0019576549530029297
50000,c,testCmp,0.000047
50000,java,testCmp,0.003421
50000,js,testCmp,1.008485
50000,php,testCmp,0.0011260509490967
50000,py,testCmp,0.0029277801513671875
50000,c,testDiv,0.000058
50000,java,testDiv,0.003689
50000,js,testDiv,1.023325
50000,php,testDiv,0.0012791156768799
50000,py,testDiv,0.0022695064544677734
50000,c,testMinus,0.000056
50000,java,testMinus,0.002806
50000,js,testMinus,0.003658
50000,php,testMinus,0.0010828971862793
50000,py,testMinus,0.002203702926635742
50000,c,testProd,0.000046
50000,java,testProd,0.002347
50000,js,testProd,1.036097
50000,php,testProd,0.0010809898376465
50000,py,testProd,0.002254962921142578
50000,c,testSum,0.000055
50000,java,testSum,0.002617
50000,js,testSum,1.164024
50000,php,testSum,0.0011451244354248
50000,py,testSum,0.002126932144165039
55000,c,testCmp,0.000059
55000,java,testCmp,0.001719
55000,js,testCmp,1.216116
55000,php,testCmp,0.0014209747314453
55000,py,testCmp,0.002797842025756836
55000,c,testDiv,0.000090
55000,java,testDiv,0.001698
55000,js,testDiv,1.021209
55000,php,testDiv,0.0013020038604736
55000,py,testDiv,0.0025043487548828125
55000,c,testMinus,0.000136
55000,java,testMinus,0.001627
55000,js,testMinus,0.004257
55000,php,testMinus,0.0013489723205566
55000,py,testMinus,0.0024645328521728516
55000,c,testProd,0.000060
55000,java,testProd,0.001996
55000,js,testProd,1.076496
55000,php,testProd,0.0011968612670898
55000,py,testProd,0.002477407455444336
55000,c,testSum,0.000061
55000,java,testSum,0.001887
55000,js,testSum,0.966282
55000,php,testSum,0.0013411045074463
55000,py,testSum,0.0024509429931640625
60000,c,testCmp,0.000065
60000,java,testCmp,0.002639
60000,js,testCmp,1.117736
60000,php,testCmp,0.0016779899597168
60000,py,testCmp,0.003026723861694336
60000,c,testDiv,0.000069
60000,java,testDiv,0.001783
60000,js,testDiv,2.278065
60000,php,testDiv,0.0018200874328613
60000,py,testDiv,0.002763986587524414
60000,c,testMinus,0.000063
60000,java,testMinus,0.001713
60000,js,testMinus,0.003496
60000,php,testMinus,0.0013480186462402
60000,py,testMinus,0.0026335716247558594
60000,c,testProd,0.000056
60000,java,testProd,0.001444
60000,js,testProd,1.379307
60000,php,testProd,0.0013589859008789
60000,py,testProd,0.0026628971099853516
60000,c,testSum,0.000090
60000,java,testSum,0.001849
60000,js,testSum,1.329377
60000,php,testSum,0.0014350414276123
60000,py,testSum,0.002871274948120117
65000,c,testCmp,0.000076
65000,java,testCmp,0.000922
65000,js,testCmp,1.302735
65000,php,testCmp,0.0015189647674561
65000,py,testCmp,0.003015756607055664
65000,c,testDiv,0.000069
