n,lang,test,time
100000,py,testLen,0.004294395446777344
10000,c,testCat,0.000072
10000,java,testCat,0.027920
10000,js,testCat,0.420082
10000,php,testCat,0.00032711029052734
10000,py,testCat,0.0006091594696044922
10000,c,testCmp,0.000022
10000,java,testCmp,0.001012
10000,js,testCmp,0.300262
10000,php,testCmp,0.00026512145996094
10000,py,testCmp,0.0004138946533203125
10000,c,testCpy,0.000089
10000,java,testCpy,0.000330
10000,js,testCpy,0.369839
10000,php,testCpy,0.00035405158996582
10000,py,testCpy,0.0001277923583984375
10000,c,testLen,0.000049
10000,java,testLen,0.000966
10000,js,testLen,0.301092
10000,php,testLen,0.00041317939758301
10000,py,testLen,0.0003643035888671875
15000,c,testCat,0.000104
15000,java,testCat,0.036326
15000,js,testCat,0.60942
15000,php,testCat,0.00051188468933105
15000,py,testCat,0.0009355545043945312
15000,c,testCmp,0.000031
15000,java,testCmp,0.001126
15000,js,testCmp,0.463643
15000,php,testCmp,0.00071191787719727
15000,py,testCmp,0.0005052089691162109
15000,c,testCpy,0.000118
15000,java,testCpy,0.000502
15000,js,testCpy,0.371929
15000,php,testCpy,0.00056099891662598
15000,py,testCpy,0.00018858909606933594
15000,c,testLen,0.000048
15000,java,testLen,0.001283
15000,js,testLen,0.352842
15000,php,testLen,0.00059199333190918
15000,py,testLen,0.0005538463592529297
20000,c,testCat,0.000138
20000,java,testCat,0.031024
20000,js,testCat,0.789859
20000,php,testCat,0.00074100494384766
20000,py,testCat,0.0012447834014892578
20000,c,testCmp,0.000043
20000,java,testCmp,0.000984
20000,js,testCmp,0.483321
20000,php,testCmp,0.00054502487182617
20000,py,testCmp,0.0007970333099365234
20000,c,testCpy,0.000184
20000,java,testCpy,0.000607
20000,js,testCpy,0.528209
20000,php,testCpy,0.00070810317993164
20000,py,testCpy,0.00028395652770996094
20000,c,testLen,0.000067
20000,java,testLen,0.000859
20000,js,testLen,0.460307
20000,php,testLen,0.00097799301147461
20000,py,testLen,0.0006821155548095703
25000,c,testCat,0.000168
25000,java,testCat,0.028778
25000,js,testCat,0.755322
25000,php,testCat,0.00086379051208496
25000,py,testCat,0.0018427371978759766
25000,c,testCmp,0.000059
25000,java,testCmp,0.001983
25000,js,testCmp,0.61637
25000,php,testCmp,0.00063586235046387
25000,py,testCmp,0.0010228157043457031
25000,c,testCpy,0.000227
25000,java,testCpy,0.000800
25000,js,testCpy,0.583847
25000,php,testCpy,0.00093293190002441
25000,py,testCpy,0.0006039142608642578
25000,c,testLen,0.000087
25000,java,testLen,0.001599
25000,js,testLen,0.51326
25000,php,testLen,0.0011229515075684
25000,py,testLen,0.001001596450805664
30000,c,testCat,0.000230
30000,java,testCat,0.029914
30000,js,testCat,0.950706
30000,php,testCat,0.001101016998291
30000,py,testCat,0.002412080764770508
30000,c,testCmp,0.000066
30000,java,testCmp,0.001854
30000,js,testCmp,0.721498
30000,php,testCmp,0.00080013275146484
30000,py,testCmp,0.0013153553009033203
30000,c,testCpy,0.000245
30000,java,testCpy,0.000994
30000,js,testCpy,0.787523
30000,php,testCpy,0.0011081695556641
30000,py,testCpy,0.0004057884216308594
30000,c,testLen,0.000106
30000,java,testLen,0.001728
30000,js,testLen,0.641959
30000,php,testLen,0.0013101100921631
30000,py,testLen,0.0014925003051757812
35000,c,testCat,0.000240
35000,java,testCat,0.029040
35000,js,testCat,1.152724
35000,php,testCat,0.0011911392211914
35000,py,testCat,0.002438783645629883
35000,c,testCmp,0.000074
35000,java,testCmp,0.002157
35000,js,testCmp,1.000479
35000,php,testCmp,0.00090312957763672
35000,py,testCmp,0.0016586780548095703
35000,c,testCpy,0.000321
35000,java,testCpy,0.001149
35000,js,testCpy,0.794308
35000,php,testCpy,0.0013489723205566
35000,py,testCpy,0.0008656978607177734
35000,c,testLen,0.000217
35000,java,testLen,0.002526
35000,js,testLen,0.946344
35000,php,testLen,0.001345157623291
35000,py,testLen,0.0017256736755371094
40000,c,testCat,0.000285
40000,java,testCat,0.032696
40000,js,testCat,3.765469
40000,php,testCat,0.0013389587402344
40000,py,testCat,0.0029158592224121094
40000,c,testCmp,0.000089
40000,java,testCmp,0.002544
40000,js,testCmp,0.774543
40000,php,testCmp,0.0010428428649902
40000,py,testCmp,0.0016276836395263672
40000,c,testCpy,0.000413
40000,java,testCpy,0.001295
40000,js,testCpy,1.672856
40000,php,testCpy,0.0017151832580566
40000,py,testCpy,0.001474142074584961
40000,c,testLen,0.000159
40000,java,testLen,0.002423
40000,js,testLen,0.75798
40000,php,testLen,0.0016109943389893
40000,py,testLen,0.0016925334930419922
45000,c,testCat,0.000352
45000,java,testCat,0.031885
45000,js,testCat,1.275862
45000,php,testCat,0.0015759468078613
45000,py,testCat,0.0033845901489257812
45000,c,testCmp,0.000117
45000,java,testCmp,0.003302
45000,js,testCmp,0.857339
45000,php,testCmp,0.0012040138244629
45000,py,testCmp,0.0018453598022460938
45000,c,testCpy,0.000468
45000,java,testCpy,0.002176
45000,js,testCpy,0.946354
45000,php,testCpy,0.0019350051879883
45000,py,testCpy,0.0007300376892089844
45000,c,testLen,0.000167
45000,java,testLen,0.003033
45000,js,testLen,0.793683
45000,php,testLen,0.0017578601837158
45000,py,testLen,0.0019254684448242188
50000,c,testCat,0.000345
50000,java,testCat,0.038463
50000,js,testCat,3.274339
50000,php,testCat,0.0017061233520508
50000,py,testCat,0.003810405731201172
50000,c,testCmp,0.000103
50000,java,testCmp,0.003735
50000,js,testCmp,1.085653
50000,php,testCmp,0.0014910697937012
50000,py,testCmp,0.002263784408569336
50000,c,testCpy,0.000394
50000,java,testCpy,0.001654
50000,js,testCpy,0.975816
50000,php,testCpy,0.0018041133880615
50000,py,testCpy,0.0008063316345214844
50000,c,testLen,0.000156
50000,java,testLen,0.003620
50000,js,testLen,0.94911
50000,php,testLen,0.0020370483398438
50000,py,testLen,0.0027174949645996094
55000,c,testCat,0.000394
55000,java,testCat,0.040011
55000,js,testCat,1.494808
55000,php,testCat,0.0022270679473877
55000,py,testCat,0.0037386417388916016
55000,c,testCmp,0.000111
55000,java,testCmp,0.003293
55000,js,testCmp,0.99103
55000,php,testCmp,0.0015208721160889
55000,py,testCmp,0.002262592315673828
55000,c,testCpy,0.000453
55000,java,testCpy,0.002197
55000,js,testCpy,1.234804
55000,php,testCpy,0.0022878646850586
55000,py,testCpy,0.0009233951568603516
55000,c,testLen,0.000206
55000,java,testLen,0.002863
55000,js,testLen,0.930223
55000,php,testLen,0.0025629997253418
55000,py,testLen,0.002392292022705078
60000,c,testCat,0.000442
60000,java,testCat,0.044546
60000,js,testCat,1.871135
60000,php,testCat,0.0022268295288086
60000,py,testCat,0.004539966583251953
60000,c,testCmp,0.000150
60000,java,testCmp,0.004102
60000,js,testCmp,1.02641
60000,php,testCmp,0.0016660690307617
60000,py,testCmp,0.002605438232421875
60000,c,testCpy,0.000591
60000,java,testCpy,0.001861
60000,js,testCpy,1.272245
60000,php,testCpy,0.0022530555725098
60000,py,testCpy,0.0009794235229492188
60000,c,testLen,0.000244
60000,java,testLen,0.002730
60000,js,testLen,0.924859
60000,php,testLen,0.0024111270904541
60000,py,testLen,0.0023424625396728516
65000,c,testCat,0.000484
65000,java,testCat,0.034750
65000,js,testCat,2.016755
65000,php,testCat,0.0025169849395752
65000,py,testCat,0.005003690719604492
65000,c,testCmp,0.000130
65000,java,testCmp,0.001488
65000,js,testCmp,1.383076
65000,php,testCmp,0.0020339488983154
65000,py,testCmp,0.002901315689086914
65000,c,testCpy,0.000523
65000,java,testCpy,0.000196
65000,js,testCpy,1.320863
65000,php,testCpy,0.0026829242706299
65000,py,testCpy,0.0009388923645019531
65000,c,testLen,0.000245
65000,java,testLen,0.000981
65000,js,testLen,1.160965
65000,php,testLen,0.0029501914978027
65000,py,testLen,0.002699613571166992
70000,c,testCat,0.000770
70000,java,testCat,0.032389
70000,js,testCat,2.427723
70000,php,testCat,0.0031278133392334
70000,py,testCat,0.004845857620239258
70000,c,testCmp,0.000169
70000,java,testCmp,0.001625
70000,js,testCmp,1.370541
70000,php,testCmp,0.0021018981933594
70000,py,testCmp,0.004437446594238281
70000,c,testCpy,0.000654
70000,java,testCpy,0.000200
70000,js,testCpy,1.429547
70000,php,testCpy,0.0029590129852295
70000,py,testCpy,0.0011260509490966797
70000,c,testLen,0.000289
70000,java,testLen,0.001678
70000,js,testLen,1.23641
70000,php,testLen,0.0029990673065186
70000,py,testLen,0.004668712615966797
75000,c,testCat,0.000757
75000,java,testCat,0.032516
75000,js,testCat,2.580072
75000,php,testCat,0.0033349990844727
75000,py,testCat,0.005209445953369141
75000,c,testCmp,0.000181
75000,java,testCmp,0.002083
75000,js,testCmp,1.587441
75000,php,testCmp,0.0022790431976318
75000,py,testCmp,0.003056764602661133
75000,c,testCpy,0.000718
75000,java,testCpy,0.000387
75000,js,testCpy,1.500292
75000,php,testCpy,0.0031969547271729
75000,py,testCpy,0.0011343955993652344
75000,c,testLen,0.000271
75000,java,testLen,0.001400
75000,js,testLen,1.358338
75000,php,testLen,0.003572940826416
75000,py,testLen,0.0030219554901123047
80000,c,testCat,0.000711
80000,java,testCat,0.032915
80000,js,testCat,3.713451
80000,php,testCat,0.0044081211090088
80000,py,testCat,0.005852699279785156
80000,c,testCmp,0.000220
80000,java,testCmp,0.002545
80000,js,testCmp,1.608256
80000,php,testCmp,0.002338171005249
80000,py,testCmp,0.0032262802124023438
80000,c,testCpy,0.000745
80000,java,testCpy,0.000237
80000,js,testCpy,1.514541
80000,php,testCpy,0.0032079219818115
80000,py,testCpy,0.0011179447174072266
80000,c,testLen,0.000284
80000,java,testLen,0.001422
80000,js,testLen,1.423953
80000,php,testLen,0.0035679340362549
80000,py,testLen,0.003062009811401367
85000,c,testCat,0.000657
85000,java,testCat,0.047551
85000,js,testCat,6.706185
85000,php,testCat,0.0068261623382568
85000,py,testCat,0.006529092788696289
85000,c,testCmp,0.000205
85000,java,testCmp,0.003422
85000,js,testCmp,2.168249
85000,php,testCmp,0.0026850700378418
85000,py,testCmp,0.003473043441772461
85000,c,testCpy,0.000895
85000,java,testCpy,0.000267
85000,js,testCpy,1.610194
85000,php,testCpy,0.0036239624023438
85000,py,testCpy,0.0012710094451904297
85000,c,testLen,0.000325
85000,java,testLen,0.002034
85000,js,testLen,1.543707
85000,php,testLen,0.00531005859375
85000,py,testLen,0.00362396240234375
90000,c,testCat,0.001268
90000,java,testCat,0.051565
90000,js,testCat,2.908045
90000,php,testCat,0.0043680667877197
90000,py,testCat,0.0063364505767822266
90000,c,testCmp,0.000218
90000,java,testCmp,0.002884
90000,js,testCmp,2.432236
90000,php,testCmp,0.0027279853820801
90000,py,testCmp,0.004282951354980469
90000,c,testCpy,0.000862
90000,java,testCpy,0.000299
90000,js,testCpy,1.832257
90000,php,testCpy,0.0040569305419922
90000,py,testCpy,0.0013995170593261719
90000,c,testLen,0.000311
90000,java,testLen,0.001952
90000,js,testLen,1.595245
90000,php,testLen,0.0041079521179199
90000,py,testLen,0.003857135772705078
95000,c,testCat,0.000707
95000,java,testCat,0.047392
95000,js,testCat,2.850661
